skill_id,name,owner,description,is_gold_union,artifact_roles
4ier--termux-api,termux-api,4ier,"Control Android devices via Termux API over SSH. Access camera, sensors, location, notifications, SMS, clipboard, TTS, and 70+ other device APIs. Requires Termux and Termux:API installed on the Android device.",0,{}
89jobrien--command-optimization,command-optimization,89jobrien,"CLI command development specialist. Use when creating commands, designing argument parsing, automating tasks, or implementing CLI best practices. Specializes in command design patterns and user experience.",0,{}
89jobrien--context-management,context-management,89jobrien,"Context management specialist for multi-agent workflows and long-running tasks. Use when coordinating multiple agents, preserving context across sessions, or managing complex project state. Focuses on context compression and distribution.",0,{}
89jobrien--database-optimization,database-optimization,89jobrien,"SQL query optimization and database performance specialist. Use when optimizing slow queries, fixing N+1 problems, designing indexes, implementing caching, or improving database performance. Works with PostgreSQL, MySQL, and other databases.",0,"{""database"": ""mention""}"
89jobrien--file-converter,file-converter,89jobrien,"This skill handles file format conversions across documents (PDF, DOCX, Markdown, HTML, TXT), data files (JSON, CSV, YAML, XML, TOML), and images (PNG, JPG, WebP, SVG, GIF). Use when the user requests converting, transforming, or exporting files between formats. Generates conversion code dynamically based on the specific request.",0,"{""csv"": ""produce"", ""html"": ""produce"", ""image"": ""produce"", ""json"": ""produce"", ""pdf"": ""produce"", ""text"": ""produce"", ""yaml"": ""produce""}"
89jobrien--git-commit-helper,git-commit-helper,89jobrien,Generate descriptive commit messages by analyzing git diffs. Use when the user asks for help writing commit messages or reviewing staged changes.,0,{}
89jobrien--network-engineering,network-engineering,89jobrien,"Network architecture, troubleshooting, and infrastructure patterns. Use when designing network topologies, debugging connectivity issues, configuring load balancers, DNS, or implementing network security.",0,{}
89jobrien--pdf-processing,pdf-processing,89jobrien,"Extract text and tables from PDF files, fill forms, merge documents. Use when working with PDF files or when the user mentions PDFs, forms, or document extraction.",0,"{""pdf"": ""consume"", ""text"": ""consume""}"
89jobrien--security-audit,security-audit,89jobrien,"Security auditing and vulnerability assessment specialist. Use when conducting security reviews, analyzing code for vulnerabilities, performing OWASP assessments, or creating security audit reports.",0,{}
AEtherlight-ai--validate-protection,validate-protection,AEtherlight-ai,Validate protection enforcement via pre-commit hooks. Use when building or testing code protection system (PROTECT-002).,0,{}
AIA-11-HN-MIB--cloudflare-browser-rendering,cloudflare-browser-rendering,AIA-11-HN-MIB,"Guide for implementing Cloudflare Browser Rendering - a headless browser automation API for screenshots, PDFs, web scraping, and testing. Use when automating browsers, taking screenshots, generating PDFs, scraping dynamic content, extracting structured data, or testing web applications. Supports REST API, Workers Bindings (Puppeteer/Playwright), MCP servers, and AI-powered automation. (project)",0,"{""pdf"": ""both""}"
AIA-11-HN-MIB--gemini-vision,gemini-vision,AIA-11-HN-MIB,"Guide for implementing Google Gemini API image understanding - analyze images with captioning, classification, visual QA, object detection, segmentation, and multi-image comparison. Use when analyzing images, answering visual questions, detecting objects, or processing documents with vision.",0,"{""image"": ""consume"", ""text"": ""consume""}"
AIPexStudio--wcag22-a11y-audit,wcag22-a11y-audit,AIPexStudio,"WCAG 2.2 Accessibility Audit skill that systematically evaluates web pages against 8 core Success Criteria (1.1.1, 1.4.3, 1.4.11, 2.1.1, 2.1.2, 2.4.3, 2.4.7, 4.1.2) using accessibility tree inspection and visual analysis. Use this skill when you need to perform accessibility testing/auditing on a live webpage.",0,"{""html"": ""consume""}"
AgnosticUI--implement-ag-playbook,implement-ag-playbook,AgnosticUI,"Implement a playbook from its PROMPT specification files. Supports both single-framework (PROMPT-REACT.md, etc.) and 3-framework (PROMPT-3-FRAMEWORKS.md) modes.",0,{}
Ai-Whisperers--excel-export-validator,excel-export-validator,Ai-Whisperers,"Validates Customer Feedback Analyzer Excel exports with 7 view sheets, 36 columns, and professional formatting. Use when checking Excel files, verifying export quality, debugging Excel generation issues, before releasing new versions, or when modifying Excel export code. Ensures zero errors in customer-facing deliverables.",0,"{""spreadsheet"": ""both""}"
AojdevStudio--formula-protection,formula-protection,AojdevStudio,"Prevent accidental modification of sacred spreadsheet formulas in Google Sheets Portfolio Tracker. Blocks edits to GOOGLEFINANCE formulas, calculated columns, and total rows. Allows only IFERROR wrappers, fixing broken references, and expanding ranges. Triggers on update formula, modify column, fix errors, or any attempt to edit formula-based cells.",0,"{""spreadsheet"": ""consume""}"
AreteDriver--data-engineer,data-engineer,AreteDriver,"Handles data collection, ingestion, cleaning, and pipeline design",0,{}
AsiaOstrich--commit-standards,commit-standards,AsiaOstrich,"Format commit messages following conventional commits standard.
Use when: writing commit messages, git commit, reviewing commit history.
Keywords: commit, git, message, conventional, 提交, 訊息, feat, fix, refactor.",0,{}
BbgnsurfTech--analyzing-network-latency,analyzing-network-latency,BbgnsurfTech,"Analyze network latency and optimize request patterns for faster communication. Use when diagnosing slow network performance or optimizing API calls. Trigger with phrases like ""analyze network latency"", ""optimize API calls"", or ""reduce network delays"".",0,{}
BbgnsurfTech--analyzing-on-chain-data,analyzing-on-chain-data,BbgnsurfTech,"Perform on-chain analysis including whale tracking, token flows, and network activity.
Use when performing crypto analysis.
Trigger with phrases like ""analyze crypto"", ""check blockchain"", or ""monitor market"".",0,{}
BbgnsurfTech--analyzing-text-sentiment,analyzing-text-sentiment,BbgnsurfTech,"This skill enables claude to analyze the sentiment of text data. it identifies the emotional tone expressed in text, classifying it as positive, negative, or neutral. use this skill when a user requests sentiment analysis, opinion mining, or emoti...",0,{}
BbgnsurfTech--analyzing-text-with-nlp,analyzing-text-with-nlp,BbgnsurfTech,"This skill enables claude to perform natural language processing and text analysis using the nlp-text-analyzer plugin. it should be used when the user requests analysis of text, including sentiment analysis, keyword extraction, topic modeling, or ...",0,{}
BbgnsurfTech--archiving-databases,archiving-databases,BbgnsurfTech,"Use when you need to archive historical database records to reduce primary database size.
This skill automates moving old data to archive tables or cold storage (S3, Azure Blob, GCS).
Trigger with phrases like ""archive old database records"", ""implement data retention policy"",
""move historical data to cold storage"", or ""reduce database size with archival"".",0,"{""database"": ""mention""}"
BbgnsurfTech--building-recommendation-systems,building-recommendation-systems,BbgnsurfTech,"This skill empowers claude to construct recommendation systems using collaborative filtering, content-based filtering, or hybrid approaches. it analyzes user preferences, item features, and interaction data to generate personalized recommendations...",0,{}
BbgnsurfTech--configuring-load-balancers,configuring-load-balancers,BbgnsurfTech,"Use when configuring load balancers including ALB, NLB, Nginx, and HAProxy. Trigger with phrases like ""configure load balancer"", ""create ALB"", ""setup nginx load balancing"", or ""haproxy configuration"". Generates production-ready configurations with health checks, SSL termination, sticky sessions, and traffic distribution rules.",0,{}
BbgnsurfTech--creating-data-visualizations,creating-data-visualizations,BbgnsurfTech,"Generate plots, charts, and graphs from data with automatic visualization type selection. Use when requesting ""visualization"", ""plot"", ""chart"", or ""graph"".",0,"{""graph"": ""produce""}"
BbgnsurfTech--creating-webhook-handlers,creating-webhook-handlers,BbgnsurfTech,"Create webhook endpoints with signature verification, retry logic, and payload validation.
Use when receiving and processing webhook events.
Trigger with phrases like ""create webhook"", ""handle webhook events"", or ""setup webhook handler"".",0,{}
BbgnsurfTech--detecting-data-anomalies,detecting-data-anomalies,BbgnsurfTech,"Identify anomalies and outliers in datasets using machine learning algorithms.
Use when analyzing data for unusual patterns, outliers, or unexpected deviations from normal behavior.
Trigger with phrases like ""detect anomalies"", ""find outliers"", or ""identify unusual patterns"".",0,{}
BbgnsurfTech--engineering-features-for-machine-learning,engineering-features-for-machine-learning,BbgnsurfTech,"Create, select, and transform features to improve machine learning model performance. Handles feature scaling, encoding, and importance analysis. Use when asked to ""engineer features"" or ""select features"".",0,{}
BbgnsurfTech--excel-dcf-modeler,excel-dcf-modeler,BbgnsurfTech,"Build discounted cash flow (DCF) valuation models in Excel with free cash flow projections, WACC calculations, and sensitivity analysis for investment banking and corporate finance teams Activates when you request ""excel dcf modeler"" functionality.",0,"{""spreadsheet"": ""produce""}"
BbgnsurfTech--excel-lbo-modeler,excel-lbo-modeler,BbgnsurfTech,"Create leveraged buyout (LBO) models in Excel with sources & uses, debt schedules, cash flow waterfalls, and IRR calculations for private equity analysis Activates when you request ""excel lbo modeler"" functionality.",0,"{""spreadsheet"": ""produce""}"
BbgnsurfTech--excel-pivot-wizard,excel-pivot-wizard,BbgnsurfTech,"Generate pivot tables and charts from raw data using natural language - analyze sales by region, summarize data by category, and create visualizations effortlessly Activates when you request ""excel pivot wizard"" functionality.",0,"{""spreadsheet"": ""both""}"
BbgnsurfTech--excel-variance-analyzer,excel-variance-analyzer,BbgnsurfTech,"Automate budget vs actual variance analysis in excel with flagging, commentary, and executive summaries for financial reporting and fp&a teams activates when you request ""excel variance analyzer"" functionality.",0,"{""spreadsheet"": ""consume""}"
BbgnsurfTech--explaining-machine-learning-models,explaining-machine-learning-models,BbgnsurfTech,"This skill enables claude to provide interpretability and explainability for machine learning models. it is triggered when the user requests explanations for model predictions, insights into feature importance, or help understanding model behavior...",0,{}
BbgnsurfTech--forecasting-time-series-data,forecasting-time-series-data,BbgnsurfTech,"This skill enables claude to forecast future values based on historical time series data. it analyzes time-dependent data to identify trends, seasonality, and other patterns. use this skill when the user asks to predict future values of a time ser...",0,{}
BbgnsurfTech--fuzzing-apis,fuzzing-apis,BbgnsurfTech,"Perform API fuzzing to discover edge cases, crashes, and security vulnerabilities.
Use when performing specialized testing.
Trigger with phrases like ""fuzz the API"", ""run fuzzing tests"", or ""discover edge cases"".",0,{}
BbgnsurfTech--generating-orm-code,generating-orm-code,BbgnsurfTech,"Use when you need to work with ORM code generation.
This skill provides ORM model and code generation with comprehensive guidance and automation.
Trigger with phrases like ""generate ORM models"", ""create entity classes"",
or ""scaffold database models"".",0,"{""database"": ""produce""}"
BbgnsurfTech--google-cloud-agent-sdk-master,google-cloud-agent-sdk-master,BbgnsurfTech,Automatic activation for all google cloud agent development kit (adk) Use when appropriate context detected. Trigger with relevant phrases based on skill purpose.,0,{}
BbgnsurfTech--handling-api-errors,handling-api-errors,BbgnsurfTech,"Implement standardized error handling with proper HTTP status codes and error responses.
Use when implementing standardized error handling.
Trigger with phrases like ""add error handling"", ""standardize errors"", or ""implement error responses"".",0,{}
BbgnsurfTech--modeling-nosql-data,modeling-nosql-data,BbgnsurfTech,"Use when you need to work with NoSQL data modeling.
This skill provides NoSQL database design with comprehensive guidance and automation.
Trigger with phrases like ""model NoSQL data"", ""design document structure"",
or ""optimize NoSQL schema"".",0,"{""database"": ""mention"", ""text"": ""mention""}"
BbgnsurfTech--optimizing-staking-rewards,optimizing-staking-rewards,BbgnsurfTech,"Compare staking rewards across validators and networks with ROI calculations.
Use when optimizing proof-of-stake rewards.
Trigger with phrases like ""optimize staking"", ""compare validators"", or ""calculate rewards"".",0,{}
BbgnsurfTech--performing-regression-analysis,performing-regression-analysis,BbgnsurfTech,"This skill empowers claude to perform regression analysis and modeling using the regression-analysis-tool plugin. it analyzes datasets, generates appropriate regression models (linear, polynomial, etc.), validates the models, and provides performa...",0,{}
BbgnsurfTech--plugin-validator,plugin-validator,BbgnsurfTech,"Automatically validates claude code plugin structure, schemas, and compliance when user mentions validate plugin, check plugin, or plugin errors. runs comprehensive validation specific to claude-code-plugins repository standards.",0,{}
BbgnsurfTech--processing-computer-vision-tasks,processing-computer-vision-tasks,BbgnsurfTech,"Process images using object detection, classification, and segmentation. Use when requesting ""analyze image"", ""object detection"", ""image classification"", or ""computer vision"".",0,"{""image"": ""consume""}"
BbgnsurfTech--running-clustering-algorithms,running-clustering-algorithms,BbgnsurfTech,"Execute clustering algorithms (K-means, DBSCAN, hierarchical) to identify data groups. Use when requesting ""run clustering"", ""cluster analysis"", or ""group data points"".",0,{}
BbgnsurfTech--scanning-database-security,scanning-database-security,BbgnsurfTech,"Use when you need to work with security and compliance.
This skill provides security scanning and vulnerability detection with comprehensive guidance and automation.
Trigger with phrases like ""scan for vulnerabilities"", ""implement security controls"",
or ""audit security"".",0,"{""database"": ""mention""}"
BbgnsurfTech--scanning-for-vulnerabilities,scanning-for-vulnerabilities,BbgnsurfTech,"This skill enables comprehensive vulnerability scanning using the vulnerability-scanner plugin. it identifies security vulnerabilities in code, dependencies, and configurations, including cve detection. use this skill when the user asks to scan fo...",0,{}
BbgnsurfTech--testing-visual-regression,testing-visual-regression,BbgnsurfTech,"Detect visual changes in UI components using screenshot comparison.
Use when detecting unintended UI changes or pixel differences.
Trigger with phrases like ""test visual changes"", ""compare screenshots"", or ""detect UI regressions"".",0,{}
BbgnsurfTech--tracking-model-versions,tracking-model-versions,BbgnsurfTech,"This skill enables claude to track and manage ai/ml model versions using the model-versioning-tracker plugin. it should be used when the user asks to manage model versions, track model lineage, log model performance, or implement version control f...",0,{}
BbgnsurfTech--tuning-hyperparameters,tuning-hyperparameters,BbgnsurfTech,"Optimize machine learning model hyperparameters using grid search, random search, or Bayesian optimization. Finds best parameter configurations to maximize performance. Use when asked to ""tune hyperparameters"" or ""optimize model"".",0,{}
BbgnsurfTech--when-stuck-problem-solving-dispatch,when-stuck-problem-solving-dispatch,BbgnsurfTech,Dispatch to the right problem-solving technique based on how you're stuck,0,{}
BerryKuipers--audit-dependencies,audit-dependencies,BerryKuipers,"Run npm audit to scan for security vulnerabilities and check for outdated packages. Returns structured output with vulnerability counts by severity (critical/high/moderate/low), affected packages, and recommended updates. Used for security audits and maintenance.",0,{}
BerryKuipers--validate-coverage-threshold,validate-coverage-threshold,BerryKuipers,"Validate test coverage meets minimum thresholds for overall, statement, branch, and function coverage",0,{}
BrownFineSecurity--iotnet,iotnet,BrownFineSecurity,"IoT network traffic analyzer for detecting IoT protocols and identifying security vulnerabilities in network communications. Use when you need to analyze network traffic, identify IoT protocols, or assess network security of IoT devices.",0,{}
BrownFineSecurity--nmap,nmap,BrownFineSecurity,"Professional network reconnaissance and port scanning using nmap. Supports various scan types (quick, full, UDP, stealth), service detection, vulnerability scanning, and NSE scripts. Use when you need to enumerate network services, detect versions, or perform network reconnaissance.",0,{}
Chachamaru127--auth,auth,Chachamaru127,"認証と決済機能を実装。Clerk、Supabase Auth、Stripeに対応。Use when user mentions login, authentication, payments, subscriptions, or Stripe. Do NOT load for: general UI work, database design, or non-auth features.",0,"{""database"": ""consume""}"
CharlesWiltgen--axiom-camera-capture,axiom-camera-capture,CharlesWiltgen,"AVCaptureSession, camera preview, photo capture, video recording, RotationCoordinator, session interruptions, deferred processing, capture responsiveness, zero-shutter-lag, photoQualityPrioritization, front camera mirroring",0,"{""video"": ""consume""}"
CharlesWiltgen--axiom-camera-capture-diag,axiom-camera-capture-diag,CharlesWiltgen,"camera freezes, preview rotated wrong, capture slow, session interrupted, black preview, front camera mirrored, camera not starting, AVCaptureSession errors, startRunning blocks, phone call interrupts camera",0,{}
CharlesWiltgen--axiom-camera-capture-ref,axiom-camera-capture-ref,CharlesWiltgen,"Reference — AVCaptureSession, AVCapturePhotoSettings, AVCapturePhotoOutput, RotationCoordinator, photoQualityPrioritization, deferred processing, AVCaptureMovieFileOutput, session presets, capture device APIs",0,{}
CharlesWiltgen--axiom-core-location,axiom-core-location,CharlesWiltgen,"Use for Core Location implementation patterns - authorization strategy, monitoring strategy, accuracy selection, background location",0,{}
CharlesWiltgen--axiom-display-performance,axiom-display-performance,CharlesWiltgen,"Use when app runs at unexpected frame rate, stuck at 60fps on ProMotion, frame pacing issues, or configuring render loops. Covers MTKView, CADisplayLink, CAMetalDisplayLink, frame pacing, hitches, system caps.",0,{}
CharlesWiltgen--axiom-energy,axiom-energy,CharlesWiltgen,"Use when app drains battery, device gets hot, users report energy issues, or auditing power consumption - systematic Power Profiler diagnosis, subsystem identification (CPU/GPU/Network/Location/Display), anti-pattern fixes for iOS/iPadOS",0,{}
CharlesWiltgen--axiom-energy-ref,axiom-energy-ref,CharlesWiltgen,"Complete energy optimization API reference - Power Profiler workflows, timer/network/location/background APIs, iOS 26 BGContinuedProcessingTask, MetricKit monitoring, with all WWDC code examples",0,{}
CharlesWiltgen--axiom-ios-build,axiom-ios-build,CharlesWiltgen,"Use when ANY iOS build fails, test crashes, Xcode misbehaves, or environment issue occurs before debugging code. Covers build failures, compilation errors, dependency conflicts, simulator problems, environment-first diagnostics.",0,{}
CharlesWiltgen--axiom-ios-ui,axiom-ios-ui,CharlesWiltgen,"Use when building, fixing, or improving ANY iOS UI including SwiftUI, UIKit, layout, navigation, animations, design guidelines. Covers view updates, layout bugs, navigation issues, performance, architecture, Apple design compliance.",0,{}
CharlesWiltgen--axiom-ios-vision,axiom-ios-vision,CharlesWiltgen,"Use when implementing ANY computer vision feature - image analysis, object detection, pose detection, person segmentation, subject lifting, hand/body pose tracking.",0,"{""image"": ""mention""}"
CharlesWiltgen--axiom-swift-performance,axiom-swift-performance,CharlesWiltgen,"Use when optimizing Swift code performance, reducing memory usage, improving runtime efficiency, dealing with COW, ARC overhead, generics specialization, or collection optimization",0,{}
CharlesWiltgen--axiom-swiftui-layout-ref,axiom-swiftui-layout-ref,CharlesWiltgen,"Reference — Complete SwiftUI adaptive layout API guide covering ViewThatFits, AnyLayout, Layout protocol, onGeometryChange, GeometryReader, size classes, and iOS 26 window APIs",0,{}
CharlesWiltgen--axiom-ui-testing,axiom-ui-testing,CharlesWiltgen,"Use when writing UI tests, recording interactions, tests have race conditions, timing dependencies, inconsistent pass/fail behavior, or XCTest UI tests are flaky - covers Recording UI Automation (WWDC 2025), condition-based waiting, network conditioning, multi-factor testing, crash debugging, and accessibility-first testing patterns",0,{}
