task,retriever,distractor_type,pool_size,actual_pool_size,repeat,gold_count,fallback_distractors,hard_negative_purity,top1_accuracy,hit@3,hit@5,hit@10,recall@3,recall@5,recall@10,mrr@10,ndcg@10,first_gold_rank@10
pg-essay-to-audiobook,bm25_desc,random,1000,1000,0,4,0,0.0,1.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,0.8756458727267334,1
powerlifting-coef-calc,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7039180890341347,1
pptx-reference-formatting,bm25_desc,random,1000,1000,0,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
protein-expression-analysis,bm25_desc,random,1000,1000,0,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
python-scala-translation,bm25_desc,random,1000,1000,0,6,0,0.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002,1
quantum-numerical-simulation,bm25_desc,random,1000,1000,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
r2r-mpc-control,bm25_desc,random,1000,1000,0,4,0,0.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,1.0,0.3903800499921017,1
react-performance-debugging,bm25_desc,random,1000,1000,0,2,0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.2,0.23719771276929622,5
reserves-at-risk-calc,bm25_desc,random,1000,1000,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sales-pivot-analysis,bm25_desc,random,1000,1000,0,2,0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8772153153380493,1
scheduling-email-assistant,bm25_desc,random,1000,1000,0,2,0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.38685280723454163,2
sec-financial-report,bm25_desc,random,1000,1000,0,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
seismic-phase-picking,bm25_desc,random,1000,1000,0,4,0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
setup-fuzzing-py,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
shock-analysis-demand,bm25_desc,random,1000,1000,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shock-analysis-supply,bm25_desc,random,1000,1000,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
simpo-code-reproduction,bm25_desc,random,1000,1000,0,2,0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
software-dependency-audit,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8395700624665824,1
speaker-diarization-subtitles,bm25_desc,random,1000,1000,0,4,0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.9619991470595832,1
spring-boot-jakarta-migration,bm25_desc,random,1000,1000,0,5,0,0.0,1.0,1.0,1.0,1.0,0.4,0.6,0.8,1.0,0.8122682216087223,1
suricata-custom-exfil,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
syzkaller-ppdev-syzlang,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
taxonomy-tree-merge,bm25_desc,random,1000,1000,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-structure-parser,bm25_desc,random,1000,1000,0,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-to-obj,bm25_desc,random,1000,1000,0,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9197207891481876,1
travel-planning,bm25_desc,random,1000,1000,0,6,0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.45390362024822023,1
trend-anomaly-causal-inference,bm25_desc,random,1000,1000,0,4,0,0.0,1.0,1.0,1.0,1.0,0.25,0.5,0.5,1.0,0.5585075862632192,1
video-filler-word-remover,bm25_desc,random,1000,1000,0,3,0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9469024295259745,1
video-silence-remover,bm25_desc,random,1000,1000,0,7,0,0.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.42857142857142855,0.5714285714285714,1.0,0.6534006113520131,1
video-tutorial-indexer,bm25_desc,random,1000,1000,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
virtualhome-agent-planning,bm25_desc,random,1000,1000,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
weighted-gdp-calc,bm25_desc,random,1000,1000,0,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
xlsx-recover-data,bm25_desc,random,1000,1000,0,2,0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.8175295903539445,1
3d-scan-calc,bm25_desc,random,1000,1000,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
adaptive-cruise-control,bm25_desc,random,1000,1000,1,5,0,0.0,1.0,1.0,1.0,1.0,0.6,0.8,0.8,1.0,0.8687949224876582,1
azure-bgp-oscillation-route-leak,bm25_desc,random,1000,1000,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
citation-check,bm25_desc,random,1000,1000,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
civ6-adjacency-optimizer,bm25_desc,random,1000,1000,1,4,0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
court-form-filling,bm25_desc,random,1000,1000,1,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
crystallographic-wyckoff-position-analysis,bm25_desc,random,1000,1000,1,2,0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
dapt-intrusion-detection,bm25_desc,random,1000,1000,1,2,0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.8065735963827293,1
data-to-d3,bm25_desc,random,1000,1000,1,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
dialogue-parser,bm25_desc,random,1000,1000,1,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
dynamic-object-aware-egomotion,bm25_desc,random,1000,1000,1,4,0,0.0,1.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,0.9438661545147249,1
earthquake-phase-association,bm25_desc,random,1000,1000,1,4,0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
earthquake-plate-calculation,bm25_desc,random,1000,1000,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
econ-detrending-correlation,bm25_desc,random,1000,1000,1,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.16666666666666666,0.3562071871080222,6
energy-ac-optimal-power-flow,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.9674679834891693,1
energy-market-pricing,bm25_desc,random,1000,1000,1,4,0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
enterprise-information-search,bm25_desc,random,1000,1000,1,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
exceltable-in-ppt,bm25_desc,random,1000,1000,1,2,0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
exoplanet-detection-period,bm25_desc,random,1000,1000,1,5,0,0.0,1.0,1.0,1.0,1.0,0.6,0.8,0.8,1.0,0.8539316501572937,1
financial-modeling-qa,bm25_desc,random,1000,1000,1,2,0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.2,0.23719771276929622,5
find-topk-similiar-chemicals,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
fix-build-agentops,bm25_desc,random,1000,1000,1,4,0,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.25,0.2,0.15101961822780524,5
fix-build-google-auto,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
fix-druid-loophole-cve,bm25_desc,random,1000,1000,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fix-erlang-ssh-cve,bm25_desc,random,1000,1000,1,6,0,0.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,1.0,0.7751482523375256,1
fix-visual-stability,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
flink-query,bm25_desc,random,1000,1000,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
flood-risk-analysis,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gh-repo-analytics,bm25_desc,random,1000,1000,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
glm-lake-mendota,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
gravitational-wave-detection,bm25_desc,random,1000,1000,1,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
grid-dispatch-operator,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
hvac-control,bm25_desc,random,1000,1000,1,5,0,0.0,1.0,1.0,1.0,1.0,0.2,0.2,0.4,1.0,0.4371994911049732,1
invoice-fraud-detection,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6049306994552042,1
jax-computing-basics,bm25_desc,random,1000,1000,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
jpg-ocr-stat,bm25_desc,random,1000,1000,1,5,0,0.0,1.0,1.0,1.0,1.0,0.2,0.4,0.4,1.0,0.4703652827859579,1
lab-unit-harmonization,bm25_desc,random,1000,1000,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
lake-warming-attribution,bm25_desc,random,1000,1000,1,4,0,0.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,1.0,0.3903800499921017,1
latex-formula-extraction,bm25_desc,random,1000,1000,1,2,0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.7977228895450266,1
lean4-proof,bm25_desc,random,1000,1000,1,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-codebook-normalization,bm25_desc,random,1000,1000,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
manufacturing-equipment-maintenance,bm25_desc,random,1000,1000,1,2,0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0,0.2,0.45560514958746035,5
manufacturing-fjsp-optimization,bm25_desc,random,1000,1000,1,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
mario-coin-counting,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
mars-clouds-clustering,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
mhc-layer-impl,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
multilingual-video-dubbing,bm25_desc,random,1000,1000,1,6,0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.8333333333333334,1.0,0.8021574504628256,1
offer-letter-generator,bm25_desc,random,1000,1000,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
organize-messy-files,bm25_desc,random,1000,1000,1,5,0,0.0,0.0,1.0,1.0,1.0,0.2,0.2,0.4,0.3333333333333333,0.2826335043946801,3
paper-anonymizer,bm25_desc,random,1000,1000,1,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
parallel-tfidf-search,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
pddl-tpp-planning,bm25_desc,random,1000,1000,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
pdf-excel-diff,bm25_desc,random,1000,1000,1,2,0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.38685280723454163,2
pedestrian-traffic-counting,bm25_desc,random,1000,1000,1,4,0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
pg-essay-to-audiobook,bm25_desc,random,1000,1000,1,4,0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.9558295932317544,1
powerlifting-coef-calc,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
pptx-reference-formatting,bm25_desc,random,1000,1000,1,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
protein-expression-analysis,bm25_desc,random,1000,1000,1,1,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6309297535714575,2
python-scala-translation,bm25_desc,random,1000,1000,1,6,0,0.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,1.0,1.0000000000000002,1
quantum-numerical-simulation,bm25_desc,random,1000,1000,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
r2r-mpc-control,bm25_desc,random,1000,1000,1,4,0,0.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,1.0,0.3903800499921017,1
react-performance-debugging,bm25_desc,random,1000,1000,1,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.125,0.19342640361727081,8
reserves-at-risk-calc,bm25_desc,random,1000,1000,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sales-pivot-analysis,bm25_desc,random,1000,1000,1,2,0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.8503449055347546,1
scheduling-email-assistant,bm25_desc,random,1000,1000,1,2,0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.8315546295836225,1
sec-financial-report,bm25_desc,random,1000,1000,1,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
seismic-phase-picking,bm25_desc,random,1000,1000,1,4,0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,0.8318724637288826,1
setup-fuzzing-py,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644,1
shock-analysis-demand,bm25_desc,random,1000,1000,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
shock-analysis-supply,bm25_desc,random,1000,1000,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
simpo-code-reproduction,bm25_desc,random,1000,1000,1,2,0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6131471927654584,1
software-dependency-audit,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6713860725233041,1
speaker-diarization-subtitles,bm25_desc,random,1000,1000,1,4,0,0.0,1.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,0.876848805629635,1
spring-boot-jakarta-migration,bm25_desc,random,1000,1000,1,5,0,0.0,1.0,1.0,1.0,1.0,0.4,0.6,0.8,1.0,0.8013122149737618,1
suricata-custom-exfil,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217,1
syzkaller-ppdev-syzlang,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
taxonomy-tree-merge,bm25_desc,random,1000,1000,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-structure-parser,bm25_desc,random,1000,1000,1,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
threejs-to-obj,bm25_desc,random,1000,1000,1,2,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
travel-planning,bm25_desc,random,1000,1000,1,6,0,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4935232796777482,1
trend-anomaly-causal-inference,bm25_desc,random,1000,1000,1,4,0,0.0,1.0,1.0,1.0,1.0,0.25,0.5,0.5,1.0,0.5585075862632192,1
video-filler-word-remover,bm25_desc,random,1000,1000,1,3,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
video-silence-remover,bm25_desc,random,1000,1000,1,7,0,0.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,1.0,0.6773676006644396,1
video-tutorial-indexer,bm25_desc,random,1000,1000,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
virtualhome-agent-planning,bm25_desc,random,1000,1000,1,1,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
